timestamp,value,rating
"Fri, 15 October",19.2,PM2.5 µg/m³ - Tốt
"Sat, 16 October",18.8,PM2.5 µg/m³ - Tốt
"Sun, 17 October",16.5,PM2.5 µg/m³ - Tốt
"Mon, 18 October",6.2,PM2.5 µg/m³ - Tốt
"Tue, 19 October",10.6,PM2.5 µg/m³ - Tốt
"Wed, 20 October",32.5,PM2.5 µg/m³ - Tốt
"Thu, 21 October",21.9,PM2.5 µg/m³ - Tốt
"Fri, 22 October",19.4,PM2.5 µg/m³ - Tốt
"Sat, 23 October",26.2,PM2.5 µg/m³ - Tốt
"Sun, 24 October",21.1,PM2.5 µg/m³ - Tốt
"Mon, 25 October",15.6,PM2.5 µg/m³ - Tốt
"Tue, 26 October",26.3,PM2.5 µg/m³ - Tốt
"Wed, 27 October",21,PM2.5 µg/m³ - Tốt
"Thu, 28 October",10.9,PM2.5 µg/m³ - Tốt
"Fri, 29 October",18.2,PM2.5 µg/m³ - Tốt
"Sat, 30 October",20.4,PM2.5 µg/m³ - Tốt
"Sun, 31 October",18.3,PM2.5 µg/m³ - Tốt
"Mon, 01 November",20.3,PM2.5 µg/m³ - Tốt
"Tue, 02 November",22.4,PM2.5 µg/m³ - Tốt
"Wed, 03 November",15.3,PM2.5 µg/m³ - Tốt
"Thu, 04 November",15.5,PM2.5 µg/m³ - Tốt
"Fri, 05 November",21,PM2.5 µg/m³ - Tốt
"Sat, 06 November",12.9,PM2.5 µg/m³ - Tốt
"Sun, 07 November",17.7,PM2.5 µg/m³ - Tốt
"Mon, 08 November",12.5,PM2.5 µg/m³ - Tốt
"Tue, 09 November",28.1,PM2.5 µg/m³ - Tốt
"Wed, 10 November",16.6,PM2.5 µg/m³ - Tốt
"Thu, 11 November",16.3,PM2.5 µg/m³ - Tốt
"Fri, 12 November",12.4,PM2.5 µg/m³ - Tốt
"Sat, 13 November",17.6,PM2.5 µg/m³ - Tốt
"Sun, 14 November",25.9,PM2.5 µg/m³ - Tốt
"Mon, 15 November",18.2,PM2.5 µg/m³ - Tốt
"Tue, 16 November",17.9,PM2.5 µg/m³ - Tốt
"Wed, 17 November",30.4,PM2.5 µg/m³ - Tốt
"Thu, 18 November",34.7,PM2.5 µg/m³ - Tốt
"Fri, 19 November",22.2,PM2.5 µg/m³ - Tốt
"Sat, 20 November",43.6,PM2.5 µg/m³ - Tốt
"Sun, 21 November",26.6,PM2.5 µg/m³ - Tốt
"Mon, 22 November",19.6,PM2.5 µg/m³ - Tốt
"Tue, 23 November",30.3,PM2.5 µg/m³ - Tốt
